Salaries,Overtime,Other_Salaries,Total_Salary,Retirement,Health/Dental,Other_Benefits,Total_Benefits,Total_Compensation
92288.22,267.45,267.45,92823.12,20700.2,12500.56,7605.75,40806.51,133629.63
76536.95,13583.72,10855.94,100976.61,18632.19,12464.61,8011.41,39108.21,140084.82
66232.32,6806.8,2069.97,75109.09,20281.69,13259.64,5877.41,39418.74,114527.83
53979.94,7202.89,25,61207.83,11513.86,12512.55,5028.71,29055.12,90262.95
118320.32,18646.74,6768.31,143735.37,21029.06,13031.4,2383.34,36443.8,180179.17
30382.86,3014.27,2090.76,35487.89,1940.77,8767.66,2747.47,13455.9,48943.79
75033.02,6930.14,1580,83543.16,15055.74,12918.24,6634.02,34608,118151.16
59555.21,31849.44,2879.13,94283.78,13169.88,13054.93,7195.52,33420.33,127704.11
54559,15296.74,4269.38,74125.12,11097.38,12918.23,5938.56,29954.17,104079.29
61428,5340.88,9449.2,76218.08,13928.79,12424.5,5996.54,32349.83,108567.91
65858.01,21444.54,4315.15,91617.7,12106.37,12801.79,7425.82,32333.98,123951.68
81942.04,14490.72,6385.16,102817.92,18250.18,12424.62,8156.01,38830.81,141648.73
109550.59,10167.54,1732.48,121450.61,19546.55,12598.32,1959.66,34104.53,155555.14
88818.72,23349.94,11102.31,123270.97,17636.06,10325.36,2105.63,30067.05,153338.02
75927.05,719.28,624,77270.33,15777.43,12424.5,6703.76,34905.69,112176.02
86736.32,2870.2,18932.45,108538.97,22162.64,12018.95,1807.93,35989.52,144528.49
68066.45,14844.73,7980.03,90891.21,14258.39,12856.94,7169.8,34285.13,125176.34
70287.49,2086.39,5682.48,78056.36,13735.33,12851.04,1664.67,28251.04,106307.4
81848.53,2183.25,567.92,84599.7,16150.81,12918.26,6965.51,36034.58,120634.28
75072.15,19775.07,2330.59,97177.81,14404.64,12850.58,7727.39,34982.61,132160.42
97282.02,47460.14,12610.97,157353.13,21061.29,11361.26,9580,42002.55,199355.68
93837.77,2838.2,5482.66,102158.63,20066.21,12445.4,8149.51,40661.12,142819.75
35632.17,2486.25,1394.44,39512.86,8123.66,3595.1,3156.82,14875.58,54388.44
26344.22,1053.46,783.37,28181.05,5540.22,5122.96,2138.51,12801.69,40982.74
81942,20607.29,16028.62,118577.91,19068.98,12424.5,9255.51,40748.99,159326.9
68627.22,4749.8,2126.23,75503.25,19100.45,13903.68,5616.3,38620.43,114123.68
129206.96,15667.78,1371.08,146245.82,28348.07,12500.56,9962.89,50811.52,197057.34
27995.16,7689.11,271.27,35955.54,6215.81,12157.48,2680.6,21053.89,57009.43
35367.98,5917.61,4470.41,45756,9481.74,10078.59,3303.71,22864.04,68620.04
83181.3,132.12,8978.13,92291.55,17150.93,13068.8,7366.88,37586.61,129878.16
59552.95,14875.56,3126.54,77555.05,17363.4,11743.97,5869.26,34976.63,112531.68
49953.43,973.77,533.62,51460.82,9193.68,10970.52,4335.48,24499.68,75960.5
58760.4,756.49,2248.78,61765.67,12223.92,12071.19,4903.52,29198.63,90964.3
142449.9,748.76,3978.89,147177.55,33096.41,12500.56,10372.29,55969.26,203146.81
77011.91,3048.3,5433.68,85493.89,15013.35,11195.43,6895.61,33104.39,118598.28
95405.01,13860.52,8482.28,117747.81,19862.16,12918.24,1969.82,34750.22,152498.03
81830,35295.23,14004.59,131129.82,19806.29,13054.94,9746.03,42607.26,173737.08
64285.99,20364.44,1388.76,86039.19,18844.29,13050.14,6738.04,38632.47,124671.66
33191.4,571.14,1210.27,34972.81,2739.17,9590.36,2736.44,15065.97,50038.78
19797.5,250.43,164.65,20212.58,4255.92,4255.25,1621.44,10132.61,30345.19
68533.53,327.77,12725.39,81586.69,15081.7,7248.03,6557.02,28886.75,110473.44
22229.1,3291.38,267.12,25787.6,747.55,5412.49,1996.11,8156.15,33943.75
60661.02,10246.74,7670.5,78578.26,14905.97,12351.9,6059.23,33317.1,111895.36
26731.45,392.21,906.05,28029.71,7065.98,5386.5,2272.79,14725.27,42754.98
92927.03,8236.17,772.8,101936,18427.47,12918.25,8397.89,39743.61,141679.61
32525.5,1061.59,1836.8,35423.89,7556.27,8030.83,2866.78,18453.88,53877.77
85255.95,706.45,7241.04,93203.44,19579.06,12428.65,7213.55,39221.26,132424.7
61128,16391.36,12984.71,90504.07,13708.34,12918.25,7368.37,33994.96,124499.03
69352.8,2127.85,3200,74680.65,12818.49,10488.91,804.68,24112.08,98792.73
119469.8,32391.53,11491.55,163352.88,24443.6,12524.53,2723.75,39691.88,203044.76
56562.79,12372.65,1630.01,70565.45,12566.85,12982.76,5533.73,31083.34,101648.79
63257.3,2752.78,894.02,66904.1,11938.55,12969.04,5542.58,30450.17,97354.27
23948.06,25.09,302.77,24275.92,6625.32,6139.73,1871.65,14636.7,38912.62
82953.75,973.52,5819.42,89746.69,506.28,7124.42,6049.39,13680.09,103426.78
94542.86,312.52,1156.8,96012.18,18807.65,12855.44,7930.92,39594.01,135606.19
24016.91,1033.06,249.24,25299.21,615.29,4162.55,1712.14,6489.98,31789.19
32790.8,3262.35,501.9,36555.05,6102.36,4888.33,2935.61,13926.3,50481.35
40234.39,236.03,1278.5,41748.92,5117.63,6271.98,3361.87,14751.48,56500.4
97794.91,2275.89,2948,103018.8,19797.37,12822.55,7950.11,40570.03,143588.83
76833.51,2305.72,981.02,80120.25,16516.64,12512.55,6259.12,35288.31,115408.56
67781.29,4314.21,3126.9,75222.4,14439.94,12400.61,5918.24,32758.79,107981.19
43093.1,586.09,2.6,43681.79,8905.89,12512.55,3539.75,24958.19,68639.98
86847.6,30038.57,10686.62,127572.79,17647.78,13068.8,10185.28,40901.86,168474.65
119469.73,13086.66,1749.09,134305.48,25814.99,12512.53,2277.57,40605.09,174910.57
26263.54,3812.5,868.39,30944.43,7565.12,8309.21,2306.62,18180.95,49125.38
16559.05,2448.49,279.74,19287.28,4742.54,5238.92,1486.84,11468.3,30755.58
67379.53,15549.77,1665.92,84595.22,20504.13,13490.96,6592.64,40587.73,125182.95
83054.03,46349.99,10599.11,140003.13,19425.07,12153.71,9894.23,41473.01,181476.14
68928.98,99.53,125,69153.51,12827.66,13068.8,5299.6,31196.06,100349.57
75020.11,46.7,12368.04,87434.85,16650.01,10143.22,1470.92,28264.15,115699
66813.1,12255.93,6858.82,85927.85,20200.45,13165.5,6475.84,39841.79,125769.64
36718.29,370.82,991.1,38080.21,7963.83,7598.05,3165.37,18727.25,56807.46
62776,4280.83,9886.58,76943.41,11195.8,6698.35,1307.49,19201.64,96145.05
123471.23,10183.87,10134.67,143789.77,23519.67,12918.24,2390.97,38828.88,182618.65
123165,3636.95,1090.38,127892.33,21956.81,12740.24,353.08,35050.13,162942.46
122956.65,34236.24,10229.34,167422.23,23384.37,12864.42,2718.2,38966.99,206389.22
54219.7,212.25,1993.5,56425.45,10136.94,11791.75,4493.22,26421.91,82847.36
40983.01,433.1,2891.22,44307.33,8388.59,4554.38,752.87,13695.84,58003.17
37219.37,210.28,958.44,38388.09,8646.31,7325.92,2938.34,18910.57,57298.66
